train_language,fr,es,en,ar,zh
fr,0.9641973511861447,0.9157172750523134,0.8525068013991449,0.5526154787396758,0.6474223907852227
es,0.9286857808179304,0.9532666821669379,0.8620287602020987,0.5485622514530437,0.6335159432504566
en,0.8394702372289332,0.8353871192745873,0.9465604352895453,0.44593147751605994,0.6280376457367608
ar,0.5492650269247562,0.568356196233434,0.4654100272055966,0.901345977363108,0.4971203820761343
zh,0.6336777761606753,0.6070681236921646,0.6251457442673921,0.3981339859284185,0.9314510464952943
